event,id,send_time,received_time,time_delta
DHT11DATA,5ce3abf6-b957-4d7c-af33-c55349c7a513,2019-10-25 09:27:20.854,2019-10-25 09:27:21.119360,0:00:00.265360
DHT11DATA,28a28fa6-7bd8-4e2b-9292-4dcdca21259d,2019-10-25 09:27:25.956,2019-10-25 09:27:26.302697,0:00:00.346697
DHT11DATA,28a28fa6-7bd8-4e2b-9292-4dcdca21259d,2019-10-25 09:27:25.956,2019-10-25 09:27:26.303191,0:00:00.347191
DHT11DATA,9a00fd6f-4036-4b8a-8aa8-d3826dfe0a22,2019-10-25 09:27:31.053,2019-10-25 09:27:32.549462,0:00:01.496462
DHT11DATA,9a00fd6f-4036-4b8a-8aa8-d3826dfe0a22,2019-10-25 09:27:31.053,2019-10-25 09:27:32.549804,0:00:01.496804
DHT11DATA,42fc7c24-c34b-49d9-bc8c-0ef9c39c49d8,2019-10-25 09:27:36.150,2019-10-25 09:27:36.451745,0:00:00.301745
DHT11DATA,42fc7c24-c34b-49d9-bc8c-0ef9c39c49d8,2019-10-25 09:27:36.150,2019-10-25 09:27:36.455396,0:00:00.305396
DHT11DATA,9f2c7831-4a0e-44b3-af87-1d8f59779459,2019-10-25 09:27:41.247,2019-10-25 09:27:42.401762,0:00:01.154762
DHT11DATA,9f2c7831-4a0e-44b3-af87-1d8f59779459,2019-10-25 09:27:41.247,2019-10-25 09:27:42.478831,0:00:01.231831
DHT11DATA,099fbea3-beaa-4f85-ba6b-bc666118aae6,2019-10-25 09:27:46.344,2019-10-25 09:27:46.628725,0:00:00.284725
DHT11DATA,099fbea3-beaa-4f85-ba6b-bc666118aae6,2019-10-25 09:27:46.344,2019-10-25 09:27:46.629059,0:00:00.285059
DHT11DATA,1991c600-b7cf-4683-a876-a6a30b04b854,2019-10-25 09:27:51.441,2019-10-25 09:27:52.234296,0:00:00.793296
DHT11DATA,1991c600-b7cf-4683-a876-a6a30b04b854,2019-10-25 09:27:51.441,2019-10-25 09:27:52.234296,0:00:00.793296
DHT11DATA,08fb3203-7756-4de5-8f11-f9c042fedbc2,2019-10-25 09:27:56.573,2019-10-25 09:27:56.820596,0:00:00.247596
DHT11DATA,08fb3203-7756-4de5-8f11-f9c042fedbc2,2019-10-25 09:27:56.573,2019-10-25 09:27:56.822611,0:00:00.249611
DHT11DATA,500c79fa-7f1b-4f4b-8c25-6d3384955f52,2019-10-25 09:28:01.669,2019-10-25 09:28:01.954180,0:00:00.285180
DHT11DATA,500c79fa-7f1b-4f4b-8c25-6d3384955f52,2019-10-25 09:28:01.669,2019-10-25 09:28:01.956278,0:00:00.287278
DHT11DATA,48d96a28-af81-481e-9830-b917be3dcc4b,2019-10-25 09:28:06.766,2019-10-25 09:28:07.658232,0:00:00.892232
DHT11DATA,48d96a28-af81-481e-9830-b917be3dcc4b,2019-10-25 09:28:06.766,2019-10-25 09:28:07.667108,0:00:00.901108
DHT11DATA,dc02f591-b64b-4def-af7d-ac9d56c95aa2,2019-10-25 09:28:11.862,2019-10-25 09:28:12.127704,0:00:00.265704
DHT11DATA,dc02f591-b64b-4def-af7d-ac9d56c95aa2,2019-10-25 09:28:11.862,2019-10-25 09:28:12.127704,0:00:00.265704
DHT11DATA,e22a3086-eebb-4086-bb13-3d1f0a90f5e1,2019-10-25 09:28:16.954,2019-10-25 09:28:18.730982,0:00:01.776982
DHT11DATA,e22a3086-eebb-4086-bb13-3d1f0a90f5e1,2019-10-25 09:28:16.954,2019-10-25 09:28:18.731071,0:00:01.777071
DHT11DATA,6ff23c8d-b615-4ed4-862d-c4a82fb0a0ed,2019-10-25 09:28:22.045,2019-10-25 09:28:23.340904,0:00:01.295904
DHT11DATA,6ff23c8d-b615-4ed4-862d-c4a82fb0a0ed,2019-10-25 09:28:22.045,2019-10-25 09:28:24.770338,0:00:02.725338
DHT11DATA,3c7a02a4-c6ad-463f-83bc-18a365bc6358,2019-10-25 09:28:27.144,2019-10-25 09:28:27.450984,0:00:00.306984
DHT11DATA,3c7a02a4-c6ad-463f-83bc-18a365bc6358,2019-10-25 09:28:27.144,2019-10-25 09:28:27.451025,0:00:00.307025
DHT11DATA,72a05599-045c-434c-ab87-339032938dcc,2019-10-25 09:28:32.238,2019-10-25 09:28:32.559871,0:00:00.321871
DHT11DATA,72a05599-045c-434c-ab87-339032938dcc,2019-10-25 09:28:32.238,2019-10-25 09:28:32.559871,0:00:00.321871
DHT11DATA,5f978c41-9746-4a13-b86c-93b72022ea1b,2019-10-25 09:28:37.334,2019-10-25 09:28:38.293915,0:00:00.959915
DHT11DATA,5f978c41-9746-4a13-b86c-93b72022ea1b,2019-10-25 09:28:37.334,2019-10-25 09:28:38.293917,0:00:00.959917
DHT11DATA,cf2cccea-ace3-4b82-80be-94cd91943508,2019-10-25 09:28:42.429,2019-10-25 09:28:42.719728,0:00:00.290728
DHT11DATA,cf2cccea-ace3-4b82-80be-94cd91943508,2019-10-25 09:28:42.429,2019-10-25 09:28:42.719728,0:00:00.290728
DHT11DATA,2a9a9824-271a-4662-8ed3-264b9981594a,2019-10-25 09:28:47.530,2019-10-25 09:28:48.628595,0:00:01.098595
DHT11DATA,2a9a9824-271a-4662-8ed3-264b9981594a,2019-10-25 09:28:47.530,2019-10-25 09:28:48.628811,0:00:01.098811
DHT11DATA,96806037-2f4b-4208-b249-d840de222c1b,2019-10-25 09:28:52.637,2019-10-25 09:28:52.919905,0:00:00.282905
DHT11DATA,96806037-2f4b-4208-b249-d840de222c1b,2019-10-25 09:28:52.637,2019-10-25 09:28:52.920250,0:00:00.283250
DHT11DATA,69cccda2-b5ed-48ac-ad3a-cc85b7960282,2019-10-25 09:28:57.734,2019-10-25 09:28:58.037980,0:00:00.303980
DHT11DATA,69cccda2-b5ed-48ac-ad3a-cc85b7960282,2019-10-25 09:28:57.734,2019-10-25 09:28:58.038187,0:00:00.304187
